Date,Open,High,Low,Close,Volume
2018-01-01,100.36,101.24,100.12,100.45,4070321
2018-01-02,100.39,101.01,99.55,100.34,3890978
2018-01-03,101.26,101.31,100.08,100.14,1246464
2018-01-04,101.75,103.9,101.38,103.28,3948398
2018-01-05,102.03,102.62,101.52,102.32,2082169
2018-01-08,102.46,102.83,101.72,102.28,1959468
2018-01-09,103.01,104.89,102.28,104.12,3305412
2018-01-10,104.55,105.37,103.54,103.9,1115064
2018-01-11,103.26,104.58,102.65,104.17,3589644
2018-01-12,104.71,105.66,103.76,104.35,3150517
2018-01-15,104.0,104.85,103.45,104.44,2813508
2018-01-16,102.74,103.52,101.85,102.49,4015099
2018-01-17,104.38,104.86,103.48,103.74,2269087
2018-01-18,101.51,102.48,101.43,101.58,2540850
2018-01-19,99.75,101.28,99.63,100.37,4567124
2018-01-22,99.69,99.92,99.47,99.83,2528447
2018-01-23,99.15,100.09,97.73,98.23,3304123
2018-01-24,98.39,99.36,97.55,98.54,4058321
2018-01-25,98.02,98.81,97.23,97.93,3200852
2018-01-26,96.79,96.99,95.34,96.13,3456373
2018-01-29,98.39,99.27,98.04,98.46,4542409
2018-01-30,97.9,98.75,97.22,97.63,1068247
2018-01-31,97.7,97.99,96.03,96.43,4328359
2018-02-01,96.04,97.22,95.85,96.27,3253422
2018-02-02,95.96,96.01,95.33,95.39,3938324
2018-02-05,95.49,95.64,94.62,95.21,1153560
2018-02-06,93.41,94.79,92.42,94.25,4839603
2018-02-07,95.47,96.04,95.14,95.3,4655355
2018-02-08,95.1,95.96,95.05,95.31,4103800
2018-02-09,93.17,94.53,92.39,94.51,2338618
2018-02-12,93.25,94.41,93.0,93.45,4540863
2018-02-13,95.92,95.96,95.0,95.83,1181142
2018-02-14,96.62,96.76,94.66,95.36,1586901
2018-02-15,94.55,94.56,93.24,94.19,2145283
2018-02-16,94.99,95.56,94.37,94.78,1373921
2018-02-19,94.05,94.98,92.6,93.26,2003639
2018-02-20,95.03,95.7,93.69,94.15,2000005
2018-02-21,92.06,93.29,91.43,92.46,1047003
2018-02-22,90.66,91.02,90.21,91.01,4718494
2018-02-23,91.01,91.59,90.82,91.05,1407650
2018-02-26,91.52,91.98,91.01,91.52,4060902
2018-02-27,92.23,92.97,91.7,92.47,2478441
2018-02-28,92.86,92.93,90.58,91.39,4729046
2018-03-01,91.91,92.82,91.17,92.14,3805573
2018-03-02,90.14,90.65,89.1,89.77,2443791
2018-03-05,89.4,90.17,89.06,89.17,2194497
2018-03-06,88.31,88.84,87.59,88.36,4615383
2018-03-07,90.59,90.74,89.39,89.9,1770448
2018-03-08,90.45,91.63,89.56,90.98,4651948
2018-03-09,88.64,89.16,87.72,88.98,3936384
2018-03-12,90.65,91.52,89.48,89.54,1791877
2018-03-13,88.81,89.54,87.99,88.93,4819128
2018-03-14,87.61,87.77,87.4,87.44,3605676
2018-03-15,88.39,89.4,88.02,88.43,4932406
2018-03-16,90.21,90.72,88.7,89.24,2079729
2018-03-19,90.62,91.3,90.47,91.23,2840220
2018-03-20,89.0,89.75,88.26,89.12,1134411
2018-03-21,89.87,90.13,89.85,89.86,3677678
2018-03-22,89.41,91.0,89.24,90.19,1412610
2018-03-23,91.66,92.48,91.05,91.64,4461743
2018-03-26,90.78,91.76,89.32,90.04,3984256
2018-03-27,89.83,90.91,88.92,90.41,4616666
2018-03-28,89.59,90.55,88.88,90.09,1296751
2018-03-29,87.79,88.54,86.77,87.44,1052055
2018-03-30,88.99,89.12,87.4,87.8,2153085
2018-04-02,90.16,90.71,88.98,88.98,4281195
2018-04-03,89.43,90.75,89.31,90.21,3748818
2018-04-04,90.53,90.62,89.38,89.91,2457082
2018-04-05,91.73,92.15,90.35,91.03,2136263
2018-04-06,90.4,91.64,89.99,90.79,4472950
2018-04-09,90.73,91.88,90.0,91.02,4542635
2018-04-10,91.99,92.78,91.47,92.68,3497838
2018-04-11,92.65,92.74,92.47,92.54,2969921
2018-04-12,95.03,95.29,94.45,94.64,2151228
2018-04-13,90.84,91.78,90.0,90.9,1325341
2018-04-16,92.21,92.34,91.14,91.86,2628637
2018-04-17,92.99,93.71,91.01,91.9,1935280
2018-04-18,91.95,92.5,91.83,92.4,2568422
2018-04-19,92.31,93.15,91.32,92.53,3299820
2018-04-20,89.56,90.67,89.35,90.32,2600448
2018-04-23,90.09,91.25,90.08,90.46,2817765
2018-04-24,90.14,90.37,88.64,89.64,4543244
2018-04-25,92.2,93.18,91.92,92.54,2838346
2018-04-26,91.78,92.19,91.12,91.95,4208329
2018-04-27,91.68,92.39,90.57,90.75,1136559
2018-04-30,90.17,91.64,89.59,90.77,3133434
2018-05-01,90.96,91.08,89.06,89.97,4371865
2018-05-02,91.22,92.09,90.54,90.86,4523319
2018-05-03,90.42,91.01,89.56,90.23,3717238
2018-05-04,91.28,91.6,91.09,91.47,2703827
2018-05-07,91.06,91.48,90.05,90.68,3042896
